"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/153","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","10,540.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","10,540.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/154","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","400.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","400.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/155","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","3,250.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","3,250.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/156","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","500.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","500.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/157","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","2,720.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","2,720.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/158","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","200.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","200.00","pending","Delivered","No","","","","","","","",""
"22/11/25","UNITY MOTORS","NOV25/001PO/SCM/159","CS","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","1,22,324.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","1,22,324.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/001PO/SCM/160","","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","1,500.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","1,500.00","pending","Delivered","No","","","","","","","",""
"22/11/25","UNITY MOTORS","NOV25/001PO/SCM/161","CS","22/12/25","01.Paragon Poultry Ltd Feed Division Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","38,771.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","38,771.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/047PO/SCM/63","","02/03/26","47.Rangpur Poultry Ltd. Feed Division Kaydahara","SERVICE","Registration &amp; Renewals Expense","Payment Against Contribution to Financial Assistance Fund (BRTA)","1.0","1.0","No.","1,783.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,783.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/047PO/SCM/63","","02/03/26","47.Rangpur Poultry Ltd. Feed Division Kaydahara","SERVICE","Registration &amp; Renewals Expense","Govt. AIT for Car","1.0","1.0","No.","30,000.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,783.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/140","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Payment Against Contribution to Financial Assistance Fund (BRTA)","1.0","1.0","No.","575.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,952.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/140","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Govt. AIT for Car","1.0","1.0","No.","25,000.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,952.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/140","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Tax Token (Renewal)","1.0","1.0","No.","6,377.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,952.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/141","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Payment Against Contribution to Financial Assistance Fund (BRTA)","1.0","1.0","No.","1,783.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,783.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/141","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Govt. AIT for Car","1.0","1.0","No.","30,000.00","13/02/26","0.00","0.00","0.00","0.00","0.0","-","-","31,783.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/142","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Fitness (Renewal)","1.0","1.0","No.","3,560.00","19/02/26","0.00","0.00","0.00","0.00","0.0","-","-","68,120.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/142","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","Tax Token (Renewal)","2.0","2.0","No.","29,780.00","19/02/26","0.00","0.00","0.00","0.00","0.0","-","-","68,120.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/060PO/SCM/142","","02/03/26","60.Chittagong Feed Ltd. Mirshorai","SERVICE","Registration &amp; Renewals Expense","BRTA Other Expenses (Vehicle)","1.0","1.0","No.","5,000.00","19/02/26","0.00","0.00","0.00","0.00","0.0","-","-","68,120.00","pending","Delivered","No","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
