"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"19/11/25","JAPAN SOLARTECH (BANGLADESH) LTD","NOV25/062PO/SCM/21","CS","19/12/25","62.Usha Poultry Ltd. Hatchery Gazirchot","ITEM","Lubricants and Fuel","Lube Oil 15W-40 (Sigma Ornate Super","210.0","210.0","LTR","455.00","19/03/26","0.00","0.00","0.00","0.00","465.0","Sigma Oil Industries Ltd","-","95,550.00","pending","Delivered","No","","","","","","","",""
"19/11/25","Eastern Trading Corporation","NOV25/076PO/SCM/52","Diesel","19/12/25","76.Moynamoti Hatchery Ltd. Binondiarchar","ITEM","Lubricants and Fuel","Diesel (Vehicle)","3,419.0","3,419.0","LTR","102.12","15/09/26","0.00","0.00","0.00","0.00","102.11986301369863","Eastern Trading Corporation","-","3,49,148.28","pending","Delivered","No","","","","","","","",""
"20/11/25","Mehek Motors","NOV25/040PO/SCM/29","","20/12/25","40.Jessore Feed Ltd. Hatchery Bashundia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","7,650.00","20/12/25","0.00","0.00","0.00","0.00","0.0","-","-","7,650.00","pending","Delivered","No","","","","","","","",""
"20/11/25","Mehek Motors","NOV25/040PO/SCM/30","cs","20/12/25","40.Jessore Feed Ltd. Hatchery Bashundia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","18,350.00","20/12/25","0.00","0.00","0.00","0.00","0.0","-","-","18,350.00","pending","Delivered","No","","","","","","","",""
"20/11/25","Mehek Motors","NOV25/040PO/SCM/31","CS","20/12/25","40.Jessore Feed Ltd. Hatchery Bashundia","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","37,880.00","20/12/25","0.00","0.00","0.00","0.00","0.0","-","-","37,880.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/074PO/SCM/28","","22/12/25","74.Shalbahan Farms Ltd. Hatchery Sirajganj","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","4,900.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","4,900.00","pending","Delivered","No","","","","","","","",""
"26/07/25","Local Purchase - (Only IT)","JUL25/007PO/43","","23/11/25","07.Paragon Poultry Ltd. Hatchery Baniarchala","ITEM","COMPUTER ITEM","Wireless Mouse","1.0","1.0","NO (S)","1,100.00","23/11/25","0.00","0.00","0.00","0.00","0.0","-","-","3,750.00","pending","Delivered","No","","","","","","","",""
"26/07/25","Local Purchase - (Only IT)","JUL25/007PO/43","","23/11/25","07.Paragon Poultry Ltd. Hatchery Baniarchala","ITEM","COMPUTER ITEM","Wireless Keyboard","1.0","1.0","NO (S)","1,200.00","23/11/25","0.00","0.00","0.00","0.00","0.0","-","-","3,750.00","pending","Delivered","No","","","","","","","",""
"26/07/25","Local Purchase - (Only IT)","JUL25/007PO/43","","23/11/25","07.Paragon Poultry Ltd. Hatchery Baniarchala","ITEM","COMPUTER ITEM","Adaptor 12V","1.0","1.0","NO (S)","1,450.00","23/11/25","0.00","0.00","0.00","0.00","1450.0","Local Purchase - (Only IT)","-","3,750.00","pending","Delivered","No","","","","","","","",""
"26/07/25","Local Purchase - (Only IT)","JUL25/007PO/44","","23/11/25","07.Paragon Poultry Ltd. Hatchery Baniarchala","ITEM","COMPUTER ITEM","Wireless Mouse","1.0","1.0","NO (S)","900.00","23/11/25","0.00","0.00","0.00","0.00","0.0","-","-","900.00","pending","Delivered","No","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
