"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"13/11/25","Global Business Solution","NOV25/073PO/SCM/20","CS","11/02/26","73.Shalbahan Farms Ltd. Unit 2 Breeder Thakurgaon","ITEM","ASSETS","Computer Core i3 12th Gen 8GB 256GB SSD 19.5 inch","1.0","1.0","NO (S)","55,500.00","11/02/26","0.00","0.00","0.00","0.00","55500.0","Global Business Solution","-","55,500.00","pending","Delivered","No","","","","","","","",""
"16/11/25","Hossain and Sons","NOV25/057PO/SCM/15","CS","16/12/25","57.Denm Poultry Comp. (pvt) Ltd Breeder Kapashia","ITEM","Lubricants and Fuel","Diesel","7,200.0","7,200.0","LTR","102.00","11/11/26","0.00","0.00","0.00","0.00","102.5","M/S Panchagarh Filling Station","-","7,34,400.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Local Purchase - (SCM only)","NOV25/003PO/SCM/47","","17/12/25","03.Paragon Poultry Ltd. Breeder Chamiadi","ITEM","Lubricants and Fuel","Kerosene","15.0","15.0","LTR","118.00","12/11/26","0.00","0.00","0.00","0.00","118.0","Local Purchase - (SCM only)","-","2,010.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Local Purchase - (SCM only)","NOV25/003PO/SCM/47","","17/12/25","03.Paragon Poultry Ltd. Breeder Chamiadi","ITEM","Lubricants and Fuel","Petrol","2.0","2.0","LTR","120.00","12/11/26","0.00","0.00","0.00","0.00","120.0","Local Purchase - (SCM only)","-","2,010.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Star Filling Station","NOV25/005PO/SCM/16","","17/12/25","05.Paragon Poultry Ltd Breeder 2 Baniarchala","ITEM","Lubricants and Fuel","Kerosene","180.0","180.0","LTR","114.00","16/04/26","0.00","0.00","0.00","0.00","118.0","Local Purchase - (SCM only)","-","25,240.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Star Filling Station","NOV25/005PO/SCM/16","","17/12/25","05.Paragon Poultry Ltd Breeder 2 Baniarchala","ITEM","Lubricants and Fuel","Petrol","40.0","40.0","LTR","118.00","16/04/26","0.00","0.00","0.00","0.00","120.0","Local Purchase - (SCM only)","-","25,240.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Star Filling Station","NOV25/006PO/SCM/25","","17/12/25","06.Paragon Poultry Ltd. Breeder 3 Baniarchala","ITEM","Lubricants and Fuel","Petrol","10.0","10.0","LTR","118.00","16/04/26","0.00","0.00","0.00","0.00","120.0","Local Purchase - (SCM only)","-","1,180.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Ranks Motors Workshop Limited","NOV25/006PO/SCM/26","CS","17/12/25","06.Paragon Poultry Ltd. Breeder 3 Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","47,556.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","47,556.00","pending","Delivered","No","","","","","","","",""
"17/11/25","Nitol Motors Ltd CSD","NOV25/046PO/SCM/14","","17/12/25","46.Rangpur Poultry Ltd. Breeder","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","6,201.00","17/12/25","0.00","0.00","0.00","0.00","0.0","-","-","6,201.00","pending","Delivered","No","","","","","","","",""
"17/11/25","M/S Panchagarh Filling Station","NOV25/073PO/SCM/34","CS","24/11/25","73.Shalbahan Farms Ltd. Unit 2 Breeder Thakurgaon","ITEM","Lubricants and Fuel","Diesel","16,200.0","16,200.0","LTR","102.50","12/11/26","0.00","0.00","0.00","0.00","102.5","M/S Panchagarh Filling Station","-","16,60,500.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Nitol Motors Ltd CSD","NOV25/006PO/SCM/28","CS","18/12/25","06.Paragon Poultry Ltd. Breeder 3 Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","26,303.00","18/12/25","0.00","0.00","0.00","0.00","0.0","-","-","26,303.00","pending","Delivered","No","","","","","","","",""
"18/11/25","Local Purchase - (SCM only)","NOV25/073PO/SCM/38","CS","18/11/25","73.Shalbahan Farms Ltd. Unit 2 Breeder Thakurgaon","ITEM","Lubricants and Fuel","LP Gas Cylinder 12 Kg Refilling","1.0","1.0","NO (S)","1,300.00","13/11/26","0.00","0.00","0.00","0.00","1245.0","Abdul Hannan Traders","-","1,300.00","pending","Delivered","No","","","","","","","",""
"18/11/25","MS Arfan Filling Station","NOV25/084PO/SCM/48","","18/12/25","84.Paragon Poultry Ltd. Breeder Haluaghat","ITEM","Lubricants and Fuel","Diesel","9,000.0","9,000.0","LTR","102.50","18/11/26","0.00","0.00","0.00","0.00","102.5","M/S Panchagarh Filling Station","-","9,22,500.00","pending","Delivered","No","","","","","","","",""
"19/11/25","Linked Laptop BD","NOV25/061PO/SCM/25","CS","19/03/26","61.Aqua Breeders Ltd Breeder Tetulia","ITEM","ASSETS","(Refurbished) Laptop Core i5 10th Gen 16GB RAM 512GB SSD 14inch Display","1.0","1.0","NO (S)","35,750.00","19/03/26","0.00","0.00","0.00","0.00","35750.0","Linked Laptop BD","-","35,750.00","pending","Delivered","No","","","","","","","",""
"22/11/25","Local Purchase - (SCM only)","NOV25/006PO/SCM/31","","22/12/25","06.Paragon Poultry Ltd. Breeder 3 Baniarchala","SERVICE","Factory Overhead 41","Repair &amp; Maintenance-Vehicle (Farms)","1.0","1.0","No.","3,810.00","22/12/25","0.00","0.00","0.00","0.00","0.0","-","-","3,810.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/061PO/SCM/28","","02/03/26","61.Aqua Breeders Ltd Breeder Tetulia","SERVICE","Registration &amp; Renewals Expense","Tax Token (Renewal)","1.0","1.0","No.","20,752.00","14/02/26","0.00","0.00","0.00","0.00","0.0","-","-","35,752.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/061PO/SCM/28","","02/03/26","61.Aqua Breeders Ltd Breeder Tetulia","SERVICE","Registration &amp; Renewals Expense","Govt. AIT for Car","1.0","1.0","No.","15,000.00","14/02/26","0.00","0.00","0.00","0.00","0.0","-","-","35,752.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/075PO/SCM/37","","02/03/26","75.Rangpur Poultry Limited (Bay Unit)","SERVICE","Registration &amp; Renewals Expense","BRTA Other Expenses (Vehicle)","1.0","1.0","No.","5,000.00","14/02/26","0.00","0.00","0.00","0.00","0.0","-","-","7,697.00","pending","Delivered","No","","","","","","","",""
"22/11/25","BRTA","NOV25/075PO/SCM/37","","02/03/26","75.Rangpur Poultry Limited (Bay Unit)","SERVICE","Registration &amp; Renewals Expense","Fitness (Renewal)","1.0","1.0","No.","2,697.00","14/02/26","0.00","0.00","0.00","0.00","0.0","-","-","7,697.00","pending","Delivered","No","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
