"Date","Supplier","Order No.","Ref. No.","Due Date","Branch","Requisition Type","Item/Ledger Group","Item","Min. Qty.","Max. Qty.","Unit.","Rate","Delivery Date","CGST %","SGST %","IGST %","VAT %","Last Approved Rate","Last Supplier","Broker","Total Amount(৳)","Status","Delivery Type","Open PO","Open PO No.","PDF","Approve/Send Mail","Reject","Rejected Reason","Back To User","Reason (Back to User)","Next Level Status"
"16/11/25","Local Purchase - (SCM only)","NOV25/009PO/SCM/51","","16/12/25","09.Paragon Poultry Ltd. Com Layer Sagordighi","ITEM","Lubricants and Fuel","LP Gas Cylinder 12 Kg Refilling","2.0","2.0","NO (S)","1,330.00","12/09/26","0.00","0.00","0.00","0.00","1330.0","Local Purchase - (SCM only)","-","2,660.00","pending","Delivered","No","","","","","","","",""
"16/11/25","MS Accessories Point","NOV25/009PO/SCM/54","","16/12/25","09.Paragon Poultry Ltd. Com Layer Sagordighi","ITEM","Lubricants and Fuel","Grease MP","20.0","20.0","kg","500.00","12/09/26","0.00","0.00","0.00","0.00","500.0","MS Accessories Point","-","10,000.00","pending","Delivered","No","","","","","","","",""
"18/11/25","NETCONNECT","NOV25/149PO/SCM/84","CS","16/02/26","149.PFL (Agro Complex) Layer Div. Nalitabari","ITEM","ASSETS","ZKTeco Sense Face 2A Access Control Terminal","2.0","2.0","NO (S)","11,500.00","16/02/26","0.00","0.00","0.00","0.00","11270.0","NETCONNECT","-","23,000.00","pending","Delivered","No","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
